# Observed 2026-09-08; inventory only, NOT a reproducible install lock.
name	version	build
_openmp_mutex	4.5	20_gnu
absl-py	2.1.0	pypi_0
anyio	3.7.1	pypi_0
argon2-cffi	23.1.0	pypi_0
argon2-cffi-bindings	21.2.0	pypi_0
astor	0.8.1	pypi_0
attrs	24.2.0	pypi_0
backcall	0.2.0	pypi_0
beautifulsoup4	4.15.0	pypi_0
biopython	1.76	pypi_0
bleach	6.0.0	pypi_0
ca-certificates	2026.7.22	hbd8a1cb_0
cffi	1.15.1	pypi_0
colour	0.1.5	pypi_0
comm	0.1.4	pypi_0
debugpy	1.7.0	pypi_0
decorator	5.1.1	pypi_0
defusedxml	0.7.1	pypi_0
entrypoints	0.4	pypi_0
exceptiongroup	1.3.1	pypi_0
fastjsonschema	2.21.2	pypi_0
gast	0.2.2	pypi_0
google-pasta	0.2.0	pypi_0
grpcio	1.62.3	pypi_0
h5py	2.10.0	pypi_0
icu	78.3	py310h44b86e0_2
idna	3.10	pypi_0
importlib-metadata	6.7.0	pypi_0
importlib-resources	5.12.0	pypi_0
ipykernel	6.16.2	pypi_0
ipython	7.34.0	pypi_0
ipython-genutils	0.2.0	pypi_0
ipywidgets	8.1.9	pypi_0
jedi	0.19.2	pypi_0
jinja2	3.1.6	pypi_0
joblib	1.3.2	pypi_0
jsonschema	4.17.3	pypi_0
jupyter-client	7.4.9	pypi_0
jupyter-core	4.12.0	pypi_0
jupyter-server	1.24.0	pypi_0
jupyterlab-pygments	0.2.2	pypi_0
jupyterlab-widgets	3.0.17	pypi_0
keras-applications	1.0.8	pypi_0
keras-preprocessing	1.1.2	pypi_0
ld_impl_linux-64	2.46.1	default_hbd61a6d_102
libffi	3.4.6	h2dba641_1
libgcc	16.2.0	ha9f2e26_4
libgcc-ng	16.2.0	h69a702a_4
libgomp	16.2.0	he0feb66_4
liblzma	5.8.3	hb03c661_1
liblzma-devel	5.8.3	hb03c661_1
libnsl	2.0.1	hb9d3cd8_1
libsqlite	3.53.4	h13e7031_1
libstdcxx	16.2.0	h934c35e_4
libstdcxx-ng	16.2.0	hdf11a46_4
libzlib	1.3.2	h25fd6f3_3
markdown	3.4.4	pypi_0
markupsafe	2.1.5	pypi_0
matplotlib-inline	0.1.6	pypi_0
mistune	3.0.2	pypi_0
nbclassic	1.2.0	pypi_0
nbclient	0.7.4	pypi_0
nbconvert	7.6.0	pypi_0
nbformat	5.8.0	pypi_0
ncurses	6.6	hdb14827_1
nest-asyncio	1.6.0	pypi_0
notebook	6.5.7	pypi_0
notebook-shim	0.2.4	pypi_0
numpy	1.18.5	pypi_0
open3d	0.8.0.0	pypi_0
openssl	3.6.4	h781a0a9_0
opt-einsum	3.3.0	pypi_0
packaging	24.0	pypi_0
pandocfilters	1.5.1	pypi_0
parso	0.8.7	pypi_0
pexpect	4.9.0	pypi_0
pickleshare	0.7.5	pypi_0
pip	24.0	pyhd8ed1ab_0
pkgutil-resolve-name	1.3.10	pypi_0
prometheus-client	0.17.1	pypi_0
prompt-toolkit	3.0.48	pypi_0
protobuf	3.20.3	pypi_0
psutil	7.2.2	pypi_0
ptyprocess	0.7.0	pypi_0
pycparser	2.21	pypi_0
pygments	2.17.2	pypi_0
pymesh2	0.3	pypi_0
pyrsistent	0.19.3	pypi_0
python	3.7.12	hf930737_100_cpython
python-dateutil	2.9.0.post0	pypi_0
pyzmq	26.2.1	pypi_0
readline	8.3	hd6e31c0_1
scikit-learn	0.23.2	pypi_0
scipy	1.5.4	pypi_0
send2trash	1.8.3	pypi_0
setuptools	69.0.3	pyhd8ed1ab_0
six	1.17.0	pypi_0
sniffio	1.3.1	pypi_0
soupsieve	2.4.1	pypi_0
sqlite	3.53.4	h9ffa6c4_1
tensorboard	1.15.0	pypi_0
tensorflow	1.15.5	pypi_0
tensorflow-estimator	1.15.1	pypi_0
termcolor	2.3.0	pypi_0
terminado	0.17.1	pypi_0
threadpoolctl	3.1.0	pypi_0
tinycss2	1.2.1	pypi_0
tk	8.6.13	noxft_h1df4ec4_4
tornado	6.2	pypi_0
traitlets	5.9.0	pypi_0
typing-extensions	4.7.1	pypi_0
wcwidth	0.2.14	pypi_0
webencodings	0.5.1	pypi_0
websocket-client	1.6.1	pypi_0
werkzeug	2.2.3	pypi_0
wheel	0.42.0	pyhd8ed1ab_0
widgetsnbextension	4.0.16	pypi_0
wrapt	1.16.0	pypi_0
xz	5.8.3	ha02ee65_1
xz-gpl-tools	5.8.3	ha02ee65_1
xz-tools	5.8.3	hb03c661_1
zipp	3.15.0	pypi_0
zstd	1.5.7	hb78ec9c_7
